Species,longitude,latitude
Ceropegia juncea Roxb.,75.99,11
Ceropegia macrantha Wight.,77,33
Ceropegia candelabrum L. var. candelabrum.,75.522862,12.380426
Ceropegia candelabrum L. var. candelabrum.,77.171819,8.680337
Ceropegia candelabrum var. biflora (L.) M.Y.Ansari,79.219374,13.81692
Ceropegia candelabrum var. biflora (L.) M.Y.Ansari,76.859713,11.044968
Ceropegia ariyittaparensis P.Biju et al.,75.310247,12.278883
"Ceropegia khasiana Murug., A.A.Mao, Meitei & Kambale",91.973715,25.859119
Ceropegia arnottiana Wight,91.366199,25.467004
Ceropegia thwaitesii Hook.,76.2711,10.8505
Ceropegia thwaitesii Hook.,78.654559,11.149052
Ceropegia mannarana P. Umam. & P. Daniel,77.877104,8.270851
Ceropegia ravikumariana Kambale & Gnanasek.,77.48388889,8.46991667
Ceropegia angustifolia Wight,91.2956,25.5692
Ceropegia angustifolia Wight,92.3814,25.3594
Ceropegia longifolia subsp. longifolia Wall.,88.474023,27.082621
Ceropegia longifolia subsp. longifolia Wall.,91.938562,25.622797
Ceropegia longifolia subsp. sinensis H. Huber,93.242305,23.906141
Ceropegia longifolia subsp. sinensis H. Huber,93.288414,23.672175
Ceropegia pubescens Wall.,88.298304,27.02365
Ceropegia bhatii S.R.Yadav & Shendage,75.720002,14.314334
Ceropegia ciliata Wight,77.058732,10.097695
Ceropegia ciliata Wight,77.066898,10.103762
Ceropegia ciliata Wight,77.018139,10.044518
Ceropegia ciliata Wight,77.126115,10.430377
Ceropegia ciliata Wight,76.769785,11.484529
Ceropegia ciliata Wight,76.763293,11.484862
Ceropegia ciliata Wight,76.767888,11.499643
Ceropegia ensifolia Bedd.,76.53826,11.060518
Ceropegia ensifolia Bedd.,77.401575,9.645666
Ceropegia ensifolia Bedd.,77.40151,9.648628
Ceropegia ensifolia Bedd.,77.401632,9.641007
Ceropegia evansii McCann,73.943533,16.137074
Ceropegia evansii McCann,73.952387,16.119821
Ceropegia evansii McCann,73.752821,17.102889
Ceropegia evansii McCann,73.749461,17.098515
Ceropegia evansii McCann,73.752936,17.115455
Ceropegia fantastica Sedgwick,74.24411,15.10758
Ceropegia fantastica Sedgwick,74.294076,15.116278
Ceropegia fantastica Sedgwick,74.31103,14.90802
Ceropegia fantastica Sedgwick,74.202903,16.13429
Ceropegia fantastica Sedgwick,74.140136,16.104611
Ceropegia fantastica Sedgwick,74.116002,16.086473
Ceropegia fantastica Sedgwick,74.052465,16.001546
Ceropegia fantastica Sedgwick,73.61243,17.110032
Ceropegia fantastica Sedgwick,73.994252,15.945876
Ceropegia hirsuta Wight & Arn.,79.188854,13.815797
Ceropegia hirsuta Wight & Arn.,74.035854,15.208009
Ceropegia hirsuta Wight & Arn.,86.179694,23.95611
